"Question","Answer","Source"
"How to deactivate my card less cash facility","Option 1: You may inform nearest Sampath Bank Branch to deactivate the service \n\n\nOption 2: By following below steps in ATM\n\nServices, Go to Other Services --> Cardless Cash facility --> select ""Deactivate Cardless Cash""","Editorial"
"What are the procedures to deactivate cardless cash facility","Option 1: You may inform nearest Sampath Bank Branch to deactivate the service \n\n\nOption 2: By following below steps in ATM\n\nServices, Go to Other Services --> Cardless Cash facility --> select ""Deactivate Cardless Cash""","Editorial"
"What are the procedures to deactivate card less cash facility","Option 1: You may inform nearest Sampath Bank Branch to deactivate the service \n\n\nOption 2: By following below steps in ATM\n\nServices, Go to Other Services --> Cardless Cash facility --> select ""Deactivate Cardless Cash""","Editorial"
"What are the steps to deactivate cardless cash facility","Option 1: You may inform nearest Sampath Bank Branch to deactivate the service \n\n\nOption 2: By following below steps in ATM\n\nServices, Go to Other Services --> Cardless Cash facility --> select ""Deactivate Cardless Cash""","Editorial"
"What are the steps to deactivate card less cash facility ","Option 1: You may inform nearest Sampath Bank Branch to deactivate the service \n\n\nOption 2: By following below steps in ATM\n\nServices, Go to Other Services --> Cardless Cash facility --> select ""Deactivate Cardless Cash""","Editorial"
"What will happen when I entered wrong ATM PIN for Cardless Cash facility?","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"Wrong pin for cardless cash?","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"fail to enter the correct code for cardless cash?","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"If I enter a wrong pin for cardless cash what will happen?","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"What will be happened if i fail to enter the correct pin for cardless cash facility? ","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"What will be happened if i enter wrong pin for cardless cash facility? ","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"i fail to enter the correct pin number for cardless cash facility","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"My cardless cash pin was wrong","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"What will happen when I entered wrong ATM PIN for Card less Cash facility?","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"Wrong pin for card less cash?","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"fail to enter the correct code for card less cash?","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"If I enter a wrong pin for card less cash what will happen?","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"What will be happened if i fail to enter the correct pin for card less cash facility? ","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"What will be happened if i enter wrong pin for card less cash facility? ","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"i failed to enter the correct pin number for card less cash facility","If you fail to enter the correct PIN, the facility will be suspended in the system. This measure has been added as a security measure.","Editorial"
"What are the procedures to activate cardless cash facility?","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"let me know how to activate cardless cash?","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"How to activate the Cardless Cash facility once suspended?","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"Procedures of activation for cardless cash facility","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"Let me know the steps for activation of card less cash","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"How to activate my card less cash facility?","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"Can I activate my cardless cash facility again once suspended?","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"can i know how to activate cardless cash facility","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"may i know how to activate cardless cash facility","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"i want to activate cardless cash facility","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"How to activate Cardless Cash facility?","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"What are the procedures to re-activate cardless cash facility?","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"let me know how to re-activate cardless cash?","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"How to re-activate the Cardless Cash facility once suspended?","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"Procedures of re-activation for cardless cash facility","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"Let me know the steps for re-activation of card less cash","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"Can I re-activate my cardless cash facility again once suspended?","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"can i know how to re-activate cardless cash facility","**Option 1:** Access Sampath ATMs enabled with the Cardless Cash facility with your\nSampath VISA Debit Card and register for the service by selecting options on\nthe ATM screen in the following manner.Other Services > Cardless Cash\nfacility > Activate Cardless Cash > Accept the agreement. \n\n **Option 2:** You may request the facility by visiting the nearest Sampath Bank branch.","Editorial"
"Can I deposit cash without visiting the Bank counter? ","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"I want to deposit cash without visiting the bank counter","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"Can we deposit money using deposit kiosk in sampath","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"Is it possible to deposit cash through cash deposit kiosk","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"is there any possibility to deposit cash without come to bank","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"let me know how to deposit money without visiting to the bank","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"may i know how to deposit money without visiting to the bank","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"can i know how to deposit money without visiting to the bank ","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"i want to know is there any possibility to deposit cash without come to bank","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"how to deposit cash without visiting bank","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"how can i deposit cash without coming to the bank","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"how to deposit without visiting bank","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"how can i deposit without coming to the bank","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"is there any possibility to deposit cash without comming to bank?","Yes, you can deposit cash through Cash Deposit Kiosk located inside the Branch.","Editorial"
"How long will cash deposit kiosk take to credit cash to the account?","Cash will be credited to accounts instantly.","Editorial"
"May I know the time period will cash deposit kiosk take to credit my account ","Cash will be credited to accounts instantly.","Editorial"
"Let me know how long cash deposit kiosk will take to credit cash to my account","Cash will be credited to accounts instantly.","Editorial"
"may i know how long cash deposit kiosk will take to credit cash to my account?","Cash will be credited to accounts instantly.","Editorial"
"will cash deposit kiosk  take more time to credit cash to the account?","Cash will be credited to accounts instantly.","Editorial"
"will cash deposit kiosk  take much of time to credit cash to the account?","Cash will be credited to accounts instantly.","Editorial"
"Are cash deposit kiosk taking more time to credit cash to the account?","Cash will be credited to accounts instantly.","Editorial"
"Can I know the maximum deposit amount in cash deposit kiosk","Deposits up to Rs.50,000/- at a time.","Editorial"
"maximum deposit amount in cash deposit kiosk at once","Deposits up to Rs.50,000/- at a time.","Editorial"
"Is it possible to deposit a large amount in cash deposit kiosk at once","Deposits up to Rs.50,000/- at a time.","Editorial"
"What Is the maximum deposit amount at once in cash deposit kiosk?","Deposits up to Rs.50,000/- at a time.","Editorial"
"How much can we deposit through cash deposit kiosk","Deposits up to Rs.50,000/- at a time.","Editorial"
"How much can we deposit via cash deposit kiosk","Deposits up to Rs.50,000/- at a time.","Editorial"
"How much can we deposit from cash deposit kiosk","Deposits up to Rs.50,000/- at a time.","Editorial"
"is there any limit for cash deposit i cash deposit kiosk","Deposits up to Rs.50,000/- at a time.","Editorial"
"what is the maximum amount can we deposit in cash deposit kiosk","Deposits up to Rs.50,000/- at a time.","Editorial"
"what is the maximum amount can we deposit via cash deposit kiosk","Deposits up to Rs.50,000/- at a time.","Editorial"
"Does cash deposit kiosk accept all Sri lankan currency notes?","Identifies and accepts all denominations of currency notes (from Rs. 10/- to Rs. 5,000/-)","Editorial"
"Can I deposit any type of sri lankan currencies to cash deposit kiosk?","Identifies and accepts all denominations of currency notes (from Rs. 10/- to Rs. 5,000/-)","Editorial"
"What are the eligible srilankan currencies for deposit in cask deposit kiosk?","Identifies and accepts all denominations of currency notes (from Rs. 10/- to Rs. 5,000/-)","Editorial"
"What are the currencies acceptable in cash deposit kiosk?","Identifies and accepts all denominations of currency notes (from Rs. 10/- to Rs. 5,000/-)","Editorial"
"can i deposit any type of currency from cash deposit kiosk machine?","Identifies and accepts all denominations of currency notes (from Rs. 10/- to Rs. 5,000/-)","Editorial"
"can i deposit any type of currency through cash deposit kiosk machine?","Identifies and accepts all denominations of currency notes (from Rs. 10/- to Rs. 5,000/-)","Editorial"
"can i deposit any type of currency via cash deposit kiosk machine? ","Identifies and accepts all denominations of currency notes (from Rs. 10/- to Rs. 5,000/-)","Editorial"
"shall i deposit any type of currency in cash deposit kiosk?","Identifies and accepts all denominations of currency notes (from Rs. 10/- to Rs. 5,000/-)","Editorial"
"let me know currencies a acceptable in cash deposit kiosk","Identifies and accepts all denominations of currency notes (from Rs. 10/- to Rs. 5,000/-)","Editorial"
"may i know currencies a acceptable in cash deposit kiosk","Identifies and accepts all denominations of currency notes (from Rs. 10/- to Rs. 5,000/-)","Editorial"
"Does cash deposit kiosk accept all sri lankan currency notes ","Identifies and accepts all denominations of currency notes (from Rs. 10/- to Rs. 5,000/-)","Editorial"
"Can I pay my utility bills through cash deposit kiosk?","The machine does not accept deposits that require entering of reference numbers such as credit card payments, utility bill payments, deposits to collection accounts.","Editorial"
"Can I pay my bill via cash deposit kiosk","The machine does not accept deposits that require entering of reference numbers such as credit card payments, utility bill payments, deposits to collection accounts.","Editorial"
"I want to pay my utility bills through cash deposit kiosk machine","The machine does not accept deposits that require entering of reference numbers such as credit card payments, utility bill payments, deposits to collection accounts.","Editorial"
"Is there any possible to pay bills through cash deposit kiosk?","The machine does not accept deposits that require entering of reference numbers such as credit card payments, utility bill payments, deposits to collection accounts.","Editorial"
"Pay utility bills in cash deposit kiosk machine","The machine does not accept deposits that require entering of reference numbers such as credit card payments, utility bill payments, deposits to collection accounts.","Editorial"
"Can I pay my utility bills through cash deposit KIOSK machine? ","The machine does not accept deposits that require entering of reference numbers such as credit card payments, utility bill payments, deposits to collection accounts.","Editorial"
"How can I check the balance of my account through my mobile phone?","You can use MISSED CALL BANKING facility by getting registered to SMS ALERTZ facility","Editorial"
"I want to check my account balance through mobile phone","You can use MISSED CALL BANKING facility by getting registered to SMS ALERTZ facility","Editorial"
"let me know how to check account balance via my mobile phone","You can use MISSED CALL BANKING facility by getting registered to SMS ALERTZ facility","Editorial"
"Is it possible to check account balance on my mobile phone?","You can use MISSED CALL BANKING facility by getting registered to SMS ALERTZ facility","Editorial"
"is there any possibility to check my balance on my phone?","You can use MISSED CALL BANKING facility by getting registered to SMS ALERTZ facility","Editorial"
"can i know how to check account balance via my mobile phone","You can use MISSED CALL BANKING facility by getting registered to SMS ALERTZ facility","Editorial"
"how to check account balance on mobile phone","You can use MISSED CALL BANKING facility by getting registered to SMS ALERTZ facility","Editorial"
"How to get balance through Sampath Missed Call Banking ?","a) Dial 011 2 30 30 80, It will automatically become a Missed Call.  \n\n\nb) You will instantly receive an SMS to your mobile phone with your available bank account balances.","Editorial"
"May I know the contact number to activate missed call banking","a) Dial 011 2 30 30 80, It will automatically become a Missed Call.  \n\n\nb) You will instantly receive an SMS to your mobile phone with your available bank account balances.","Editorial"
"How missed call banking will work","a) Dial 011 2 30 30 80, It will automatically become a Missed Call.  \n\n\nb) You will instantly receive an SMS to your mobile phone with your available bank account balances.","Editorial"
"can i check my savings account balance through sms? ","a) Dial 011 2 30 30 80, It will automatically become a Missed Call.  \n\n\nb) You will instantly receive an SMS to your mobile phone with your available bank account balances.","Editorial"
"missed call credit card balance ","a) Dial 011 2 30 30 80, It will automatically become a Missed Call.  \n\n\nb) You will instantly receive an SMS to your mobile phone with your available bank account balances.","Editorial"
"Let me know the procedures to register missed call banking service","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"How can i register for missed call banking services","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"Shall i register missed call banking here","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"How to get registered to missed call banking facility? ","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"i want to Register missed call banking","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"how can i activate missed call banking?","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"how to register missed call banking?","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"how to activate missed call banking?","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"i want to activate missed call banking","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"shall i activate missed call banking?","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"may i know the procedures to register to missed call banking","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"may i know the procedures to activate to missed call banking","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"please activate my missed call banking facility","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"please register my missed call banking facility","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"how to enable sms alerts?  ","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"I want to know about sms service is active ","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"how can i activate sms alert ","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"how can activate sms alert to my phone?  ","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"How to activate missed call banking ","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"i want to know the sampath sms alert facility ","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"i want to activate sms alerts for my account. can i activate the service through phone call?","Please visit the nearest Sampath Bank branch and register with SMS Alert facility.","Editorial"
"How to check the balance with MISSED CALL BANKING facility?","Dial 011 2 30 30 80","Editorial"
"Can I check my balance through missed call banking","Dial 011 2 30 30 80","Editorial"
"I want to check my account balance through missed call banking","Dial 011 2 30 30 80","Editorial"
"How to check my balance through missed call banking","Dial 011 2 30 30 80","Editorial"
"how can i check my account balance through missed call banking","Dial 011 2 30 30 80","Editorial"
"is there any possibility to check my account balance from missed call banking","Dial 011 2 30 30 80","Editorial"
"What are the fees and charges for MISSED CALL BANKING facility?","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"What are the charges applicable for missed call charges","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"Is there any tax for missed call banking","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"Do you charge for missed call banking","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"What are the chargers for missed call banking ","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"Charges for missed call banking ","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"charges of missed call banking","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"can i know the charges of missed call banking","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"may i know the charges of missed call banking ","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"let me know the charges of missed call banking  ","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"Do you charge for missed call banking facility","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"service charge for missed call banking","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"i want to know about the charges of missed call banking","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"fee for the missed call banking","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"can i know the fee for the missed call banking ","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"may i know the fee for the missed call banking  ","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"let me know the fee for the missed call banking   ","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"does an amount of money get reduced when we get alert in our mobile","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"may i know the service charge for sms banking","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"fee for the missed call banking facility ","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"how about monthly charges for sms alert ","Rs. 5/- will be charged for every SMS with information of your available bank account balance.","Editorial"
"If the account balance is insufficient will i get the SMS alert through missed call banking?","No. If the balance is insufficient to recover the fee, you will not receive the balance.","Editorial"
"My balance is insufficient, can i get sms alerts through missed call banking","No. If the balance is insufficient to recover the fee, you will not receive the balance.","Editorial"
"Can I receive sms alerts through missed call banking while my balance is empty","No. If the balance is insufficient to recover the fee, you will not receive the balance.","Editorial"
"if my mobile balance is not enough can i receive sms alerts","No. If the balance is insufficient to recover the fee, you will not receive the balance.","Editorial"
"i want to register for payeasy","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"register pay easy","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"i want to register pay easy","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"i want to register payeasy ","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"let me know the procedures to register pay easy","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"How can I register for PayEasy?","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"can i register pay easy?","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"How to get registered to pay easy?","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"can i join pay easy?","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"can i join payeasy?","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"how can i open pay easy?","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"how can i open payeasy?","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"shall i register for payeasy?","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"How to get registered to pay easy facility?","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"how can i activate pay easy facility?","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"please activate my pay easy facility","If you are already a Sampath Vishwa User , You may use the same credentials to login to payeasy.If not you can follow the simple sign up process and register for free.","Editorial"
"reset payeasy password","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"How do I reset PayEasy password?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"Can i reset my pay easy password?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"is it possible to change the pay easy password?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"what are the steps to reset pay easy password?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"I can't remember my payeasy password, How can i reset it?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"I want to reset my payeasy password","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"I forget my payeasy password and  want to reset it","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"Do you provide any facility to reset payeasy password?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"is there any possibility to reset payeasy password","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"Can i reset my payeasy password?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"is it possible to change the payeasy password?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"what are the steps to reset payeasy password?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"reset pay easy password","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"How do I reset Pay Easy password?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"I can't remember my pay easy password, How can i reset it?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"I want to reset my pay easy password","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"I forget my pay easy password and  want to reset it","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"Do you provide any facility to reset pay easy password?","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"is there any possibility to reset pay easy password","Pay Easy users can reset password using their registered mobile by clicking the link "" Forgot Password "" and follow the steps. ","Editorial"
"can i unlock the payeasy password","Pay Easy users can unlock password using their registered mobile by clicking the link ""Unlock Password "" and follow the steps","Editorial"
"what are procedures to unlock password in pay easy","Pay Easy users can unlock password using their registered mobile by clicking the link ""Unlock Password "" and follow the steps","Editorial"
"i want to unlock my payeasy user","Pay Easy users can unlock password using their registered mobile by clicking the link ""Unlock Password "" and follow the steps","Editorial"
"unlock payeasy user","Pay Easy users can unlock password using their registered mobile by clicking the link ""Unlock Password "" and follow the steps","Editorial"
"is it possible to unlock a password in payeasy?","Pay Easy users can unlock password using their registered mobile by clicking the link ""Unlock Password "" and follow the steps","Editorial"
"is it possible to unlock  payeasy user?","Pay Easy users can unlock password using their registered mobile by clicking the link ""Unlock Password "" and follow the steps","Editorial"
"what are the steps to unlock password in payeasy?","Pay Easy users can unlock password using their registered mobile by clicking the link ""Unlock Password "" and follow the steps","Editorial"
"what are the steps to payeasy unlock password?","Pay Easy users can unlock password using their registered mobile by clicking the link ""Unlock Password "" and follow the steps","Editorial"
"I want to unlock payeasy user","Pay Easy users can unlock password using their registered mobile by clicking the link ""Unlock Password "" and follow the steps","Editorial"
"Do you provide any facility to unlock password in payeasy?","Pay Easy users can unlock password using their registered mobile by clicking the link ""Unlock Password "" and follow the steps","Editorial"
